,From Specify,,,,Desired Split,,
GUID,First.Name,Middle.Name,Last.Name,Standardized Name,First.Name,Middle.Initial,Last.Name
6ec6864e-82e6-47db-9e64-7c0717949a3f,Frank,,Lomer,Frank Lomer,,,
75f3ce51-988a-4984-9a11-5d3c4075bb60,,,F.W. Lomer,Frank Lomer,,,
53912434-cbe6-4d49-bcb6-bc9bf9d3af4f,F.,,Lomer,Frank Lomer,,,
ece9d023-bafd-4d10-afd7-4c0422fcfbe0,,,Frank W. Lomer,Frank Lomer,,,
fe20fba2-efbf-4862-b903-77bf4031980b,Vladimir,J.,Krajina,Vladimir J. Krajina,,,
e36e7763-3155-48bb-9d76-6266c56420c8,,,Vladimir J. Krajina,Vladimir J. Krajina,,,
4ad31a93-f011-4b5d-a75d-a11171588fb2,V.,J.,Krajina,Vladimir J. Krajina,,,
5581d860-4b0f-45cd-862d-ad75c130f039,,,V.J. Krajina,Vladimir J. Krajina,,,
a1d66c81-9552-43da-8fa2-1c2cca3fdcd3,,,V. J. Krajina,Vladimir J. Krajina,,,
b7366578-caca-4dde-8aa1-e132f5586a7a,,,V. Krajina,Vladimir J. Krajina,,,
698058d0-b9ab-45ef-aaf1-973998a90a8f,,,Vladimir J. Krajina.,Vladimir J. Krajina,,,
73d8b1ff-637e-4ff9-8bca-eafd3619382e,,,Vladimir Krajina,Vladimir J. Krajina,,,
cde6e2cd-7cd2-4171-85f0-8d2904a5eb6c,,,Vladamir J. Krajina,Vladimir J. Krajina,,,
c63837da-b5d6-4cbb-b539-1ffecf3dc7ca,V.,,Krajina,Vladimir J. Krajina,,,
1f9be9e7-50ec-4548-ac12-4c7d0e362488,V. Krajina,,,Vladimir J. Krajina,,,
61af9f0e-3286-4c85-9852-83abf5aaf95e,Dr. V. J. Krajina,,,Vladimir J. Krajina,,,
62d51b50-f97b-4bde-b377-809e20a78056,V. J. Krajina,,,Vladimir J. Krajina,,,
7ccb4659-02ab-4631-a16b-39186f0f0dc9,V.J.,,Krajina,Vladimir J. Krajina,,,
7c7fe11c-4a84-42ce-a9da-3fd06d53a431,T.,C.,Taylor,Thomas M.C. Taylor,,,
a1e74e35-d083-4c0a-9a96-65030a1c94f2,T.,,Taylor,Thomas M.C. Taylor,,,
f021d57f-4e75-4505-90c7-035a3ab14819,M.,T.,Taylor,Thomas M.C. Taylor,,,
6a140359-78c8-404a-81ff-a3de51352b10,,,T. Taylor,Thomas M.C. Taylor,,,
26e11580-2dd8-432f-a2de-3065d9d9c0d9,,,T. M. Taylor,Thomas M.C. Taylor,,,
463b761b-7945-456a-8746-60ccf84bf5a1,Thomas,M.T.,Taylor,Thomas M.C. Taylor,,,
346b9c32-1b9e-4126-9acd-258ad28fa823,,,R.T Taylor,Thomas M.C. Taylor,,,
70dc96e0-ae29-41d1-92a7-4ea007e29dd5,T. Taylor,,,Thomas M.C. Taylor,,,
be62336a-845d-42a1-9f76-f6452180e142,John,W.,Eastham,John W. Eastham,,,
ad03ecd9-cfcc-4827-b946-53f2668387f6,,,J. W. Eastham,John W. Eastham,,,
c819a61b-4f95-4848-aa90-1959a7931738,,,John W. Eastham,John W. Eastham,,,
d8e7b646-5555-4bba-bbce-b86955f8efdc,J.,W.,Eastham,John W. Eastham,,,
b7413379-4fac-489f-a4f1-38e239bc8889,,,J.W. Eastham,John W. Eastham,,,
7fd7d971-f204-4b8e-8a84-a2d5082ba056,Jogn,W.,Eastham,John W. Eastham,,,
9ad3072f-a742-4c71-ab67-decd1fd1e4ba,J.W,,Eastham,John W. Eastham,,,
3ab6a383-0ee7-4627-928d-3917c1cdef61,J.,,Eastham,John W. Eastham,,,
439cb2f9-80b8-4980-9fe7-29e8df2c6c3a,John,W.,Estham,John W. Eastham,,,
251c6a6d-3734-473d-a7df-12c5606f92ff,John,W,Eastham,John W. Eastham,,,
c7f856cf-f2b6-4f01-991d-4d5695bf17a3,John,W.,Eastham,John W. Eastham,,,
414e0624-75b9-4e39-8da3-bf051117b77c,Katherine,I.,Beamish,Katherine I. Beamish,,,
2aca8787-872a-46e3-b558-23ce9f290e89,,,Katherine I. Beamish,Katherine I. Beamish,,,
eccc56a2-28f6-4ed5-9826-011826a1973a,,,K. I. beamish,Katherine I. Beamish,,,
ab567341-163e-4af9-aac0-771a33df5c2b,K.,I.,Beamish,Katherine I. Beamish,,,
e731965d-331c-49f5-9c02-d9a0708939fb,Katherine,,Beamish,Katherine I. Beamish,,,
8c3d9a4e-ea6c-4404-b0ec-cf7ee79d5b96,K.,,Beamish,Katherine I. Beamish,,,
5bf15d70-d1fe-4fbc-a53b-9e767ea74101,K.I,.,Beamish,Katherine I. Beamish,,,
c855b484-4cb8-426f-a24a-bf190208d62b,KI,,Beamish,Katherine I. Beamish,,,
8eddc47f-892c-4d9f-a2f1-6d2be6e02621,K.,I,Beamish,Katherine I. Beamish,,,
74e2bb6a-373d-4eaa-90fe-6f8609a8ef99,Katherine,I,Beamish,Katherine I. Beamish,,,
571b2e42-8b8b-4b4b-9793-3407e0d4092d,,,K.  Beamish/ F. Vrugtman,Katherine I. Beamish,,,
a2a7eb21-a08e-418b-a3b2-3559a383a734,Katherin,I.,Beamish,Katherine I. Beamish,,,
983c739e-0931-4c89-abad-b96672a2b2ae,,,K. beamish,Katherine I. Beamish,,,
e3197ac3-7237-465b-b905-34d3fe7ad02d,Gerald,B.,Straley,Gerald B. Straley,,,
42211fbf-14df-4430-8a00-f6b0d2cafe52,,,Gerald B. Straley,Gerald B. Straley,,,
41f62f56-09b3-45c3-b9c4-271d8bd3c965,Gerald,,Straley,Gerald B. Straley,,,
aa8a622c-3aa2-4e6e-8a46-7b250a5971e3,G.,B.,Straley,Gerald B. Straley,,,
3f0c0e59-fca7-48a6-89cd-02379aca4f1b,Gerald,B,Straley,Gerald B. Straley,,,
fec6cf9c-1fab-4a09-a6f1-9d05b7545680,G.B,,Straley,Gerald B. Straley,,,
ca850e69-155a-486a-ac4e-e117692a46db,G. B. Straley,,,Gerald B. Straley,,,
2277c19a-a320-4fa0-8dfd-c9fbb20e5f26,G. B. Straley,,,Gerald B. Straley,,,
01712743-547a-47d1-b178-41818388b9b0,Vernon,C.,Brink,Vernon C. Brink,,,
12844df1-d660-407d-b8a4-95be5b308444,V.,C.,Brink,Vernon C. Brink,,,
8fc0923a-eac2-4329-8014-a964aa7d6597,,,Vernon C. Brink,Vernon C. Brink,,,
33c49044-6703-499c-9350-50dc7593f74e,,,V. C. Brink,Vernon C. Brink,,,
305844b9-b6f7-4c66-90de-84d7549c6c53,,,Gerard Greichon for Vernon C. Brink,Vernon C. Brink,,,
cfa4f3be-3abb-4ab4-bb7f-3b9140f938f5,R.,V.,Brink,Vernon C. Brink,,,
3f0e7a08-6b9d-4435-840c-c110279d1a1c,C.,V.,Brink,Vernon C. Brink,,,
df83fdf7-5953-4253-be1a-ed8eb09231ab,V. C. Brink,,,Vernon C. Brink,,,
f9ff372c-5548-4dc2-9359-cf266327f320,V.C. Brink,,,Vernon C. Brink,,,
e268e850-fa9c-447b-88ea-2e249dc25eac,John,,Davidson,John Davidson,,,
78f8d846-25e1-4276-9c4a-de9e804d099f,,,John Davidson,John Davidson,,,
197d75e8-68ad-4036-aa78-58412fd8bf4b,,,John Davidson?,John Davidson,,,
5f279354-cca5-4111-9dbb-d1bbd705c981,J.,,Davidson,John Davidson,,,
f6d01060-2c58-4615-8dd4-547322241c64,,,[John Davidson],John Davidson,,,
648637c3-c901-4abe-b607-192ef94cbc46,,,J. Davidson,John Davidson,,,
2f0fa754-2352-447f-9a6f-1749c1a22512,,,John Davidson Jr.,John Davidson,,,
2285341d-188a-4b2f-aad7-07d415b989ad,J. Davidson,,,John Davidson,,,
c10d6e83-413f-4634-a62a-08800e86c660,John,,Davidson,John Davidson,,,
af0514cf-23e2-4756-86e3-e3dd7dda0029,J. Davidson,,,John Davidson,,,
c2d6ac20-d2c2-4e2e-ae3b-c4c9d61bd98f,Adam,F.,Szczawinski,Adam F. Szczawinski,,,
805f9228-a2a1-407b-a271-6a3a6ebd0f9c,,,Adam F. Szczawinski,Adam F. Szczawinski,,,
5988e36a-0a30-4a2f-b1aa-1abd37ecc2c6,A.,F.,Szczawinski,Adam F. Szczawinski,,,
9f39f0aa-a93e-4fb9-a369-879e80c6590d,,,A.F. Szczawinski,Adam F. Szczawinski,,,
0d735cf4-0958-417f-ba89-62355ea9666f,,,A. Szczawinski,Adam F. Szczawinski,,,
d6254611-608c-475b-a840-67ad94aecaa3,,,A.F Szczawinski,Adam F. Szczawinski,,,
c08136a6-41fa-470d-a9a1-6b71c835b863,,,A. F. Szczawinski,Adam F. Szczawinski,,,
09c8ada4-8421-47d4-83dc-2fc92a772fa4,,,A.F. Sczcawinski,Adam F. Szczawinski,,,
780e9059-0ac5-48cb-a583-68a3a8182c60,,,Adam F. Szcawinski,Adam F. Szczawinski,,,
a4b8fc12-d353-47dd-a9a1-1043315351b4,A.,F.,Sczawinski,Adam F. Szczawinski,,,
68a58bcb-fe9a-481f-937d-bef27fd5d880,,,Adam Szczawinski,Adam F. Szczawinski,,,
b165cdf5-6741-45cc-9fc3-f18c58e7f974,,,A. F. Szczawinski. M. Bell,Adam F. Szczawinski,,,
8802469c-5626-49ae-9d66-aafdf25e0685,,,Adam F. Szczawinksi,Adam F. Szczawinski,,,
d1efc1ab-7f5e-4872-96aa-c471889ff2df,A.,F.,Szczawinki,Adam F. Szczawinski,,,
b6dce96b-4a24-4ddc-ab3f-c99f7bd30c3b,,,A. Szcawinski,Adam F. Szczawinski,,,
1843253e-9a23-459a-a8e5-cfc40d9ae068,A.,F.,Szcawinski,Adam F. Szczawinski,,,
fdbc4a1d-9b03-4bc4-aa14-bf6439837481,,,Adam Szczawinksi,Adam F. Szczawinski,,,
c84285b9-ab30-4ae8-8114-fae5957753fe,A.,F.,Szczawinksi,Adam F. Szczawinski,,,
ecbc53c2-6241-42a8-b2b1-0efeda7cde49,,,A.F. Szcawinski,Adam F. Szczawinski,,,
669a311f-ffb7-47c5-95d0-4af71f1153a5,,,A.F. Szczawinski et al,Adam F. Szczawinski,,,
84bfb00d-938d-4824-9c6f-3c79413cc52e,A.F.,,Szczawinski,Adam F. Szczawinski,,,
dcf92daa-1040-4a90-bae3-395d17057722,James,A.,Calder,James A. Calder,,,
1595407d-5f24-4f4f-bf8b-029b550626da,J.,A.,Calder,James A. Calder,,,
b86f13e3-ac3f-48e5-bce8-904b305780fe,,,James A. Calder,James A. Calder,,,
11c71507-482c-4774-8906-9c0231746561,,,J.A. Calder,James A. Calder,,,
3eb4d8f4-8303-43ea-9189-2fba23f5eec5,James.,A.,Calder,James A. Calder,,,
950618c7-8683-4d11-aa50-2e7969ce724f,J.A.,,Calder,James A. Calder,,,
e9591f7e-6662-4e7a-9feb-ace0452a3dc5,Freek,,Vrugtman,Freek Vrugtman,,,
b40b543b-04c4-4b7b-87b9-47cf7d3df73b,,,Freek Vrugtman,Freek Vrugtman,,,
6c56a06d-dd93-403c-9cf3-fb204e79a8c0,,,F. Vrugtman,Freek Vrugtman,,,
181ac454-89b2-43e2-8bb1-53c3aab65c45,F.,,Vrugtman,Freek Vrugtman,,,
3ab36de5-1f9d-412b-8024-3d57c9445113,,,F Vrugtman,Freek Vrugtman,,,
09f85cea-2ae4-44e7-91e1-3f18988cfe59,,,F. Vrugman,Freek Vrugtman,,,
ac435d7e-0503-4c31-9092-fce8405e1084,William,Copeland,McCalla,William Copeland McCalla,,,
38be5a7f-fc4f-4ee3-b97b-47315f945123,,,Jim Pojar,Jim J. Pojar,,,
64ca9282-1099-421a-bb22-3a4567700372,,,J. Pojar,Jim J. Pojar,,,
5a353889-13f5-4b66-b63b-270c8733830c,Jim,,Pojar,Jim J. Pojar,,,
3c99ebc5-2b97-4f1b-9ad2-cd636a0ffb57,J.,,Pojar,Jim J. Pojar,,,
10f2f87a-e1f5-49d5-b385-f838ac4f3a58,,,Jim J. Pojar,Jim J. Pojar,,,
a26b340e-d0ba-42a4-bfaf-19099d8cde82,Jim,J.,Pojar,Jim J. Pojar,,,
7f23169d-3ce7-45a3-940d-d710851420a3,,,K. Wadem J. Pojar,Jim J. Pojar,,,
08890f83-c04a-46d0-b6eb-e238ccf50836,James,,Pojar,Jim J. Pojar,,,
7c1bda33-3f01-4442-8626-a42bf9ae251c,,,James J. Pojar,Jim J. Pojar,,,
929c8c0c-33b5-4be6-9413-d2511bf29a2c,,,James Jim Pojar,Jim J. Pojar,,,
b4c36e3d-26d2-48e3-8a4d-175b11584465,James,Jim,Pojar,Jim J. Pojar,,,
4441cae7-34eb-43fc-b600-a64423cd9ff4,James,J.,Pojar,Jim J. Pojar,,,
586c4bbd-c4b2-429a-b873-360b3388420a,J. Pojar,,,Jim J. Pojar,,,
e71ef169-b0c7-47a4-9603-b6945150d917,J. Pojar,,,Jim J. Pojar,,,
98adfd5e-3133-40c3-bf11-8c540419fd46,,,Roy L. Taylor,Roy L. Taylor,,,
08935863-0213-495d-9adb-ff12ec9ac612,Roy,L.,Taylor,Roy L. Taylor,,,
